FACILITY_NAME,site_id,CLASS_STATUS,CONTACT,Latitude,Longitude,LOCATION_ADDRESS_LINE_1,LOCATION_ADDRESS_LINE_2,CITY,STATE,ZIP,NAICS,SIC,COUNTY,PERMIT_DOCUMENT_LINK,PUBLIC_RECORDS_SEARCH_LINK,FACILITY_ECHO_LINK,x,y
"Duke Energy Carolinas, LLC - Marshall Steam Station",1800073,Title V,Mooresville Regional Office,35.5972,-80.9658,8320 East NC Hwy 150,,Terrell,NC,28682,Fossil Fuel Electric Power Generation (221112),Electric Services (4911),Catawba,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%221800073%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%221800073%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003701800073,-9013071.628,4245337.326497275
"Duke Energy Carolinas, LLC-Rockingham Co Comb. Turb.",7900156,Title V,Winston-Salem Regional Office,36.3306,-79.8287,240 Ernest Drive,,Reidsville,NC,27320,Fossil Fuel Electric Power Generation (221112),Electric Services (4911),Rockingham,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%227900156%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%227900156%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003707900156,-8886490.235,4346207.294819966
Duke Energy Corporation LCTS,5500082,Title V,Mooresville Regional Office,35.4313,-81.0372,6769 Old Plank Road - SR 1511,,Stanley,NC,28164,Fossil Fuel Electric Power Generation (221112),Electric Services (4911),Lincoln,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%225500082%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%225500082%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003705500082,-9021019.839,4222648.661878767
"Duke Energy Progress, LLC - Cape Fear STAR Facility",1900134,Title V,Raleigh Regional Office,35.5879,-79.0333,500 C P and L Road,,Moncure,NC,27559,Fossil Fuel Electric Power Generation (221112),Electric Services (4911),Chatham,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%221900134%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%221900134%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003701900134,-8797946.712,4244064.2064113375
"Duke Energy Progress, LLC - H.F. Lee Steam Electric Plant",9600017,Title V,Washington Regional Office,35.3807,-78.0875,1199 Black Jack Church Road,,Goldsboro,NC,27530,Fossil Fuel Electric Power Generation (221112),Electric Services (4911),Wayne,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%229600017%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%229600017%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003709600017,-8692660.737,4215737.861036455
"Duke Energy Progress, LLC - L.V. Sutton Electric Plant",6500036,Title V,Wilmington Regional Office,34.2829,-77.9864,801 Sutton Steam Plant Road,,Wilmington,NC,28401,Fossil Fuel Electric Power Generation (221112),Electric Services (4911),New Hanover,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%226500036%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%226500036%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003706500036,-8681406.337,4066852.1354720755
"Duke Energy Progress, LLC - Mayo Electric Generating Plant",7300045,Title V,Raleigh Regional Office,36.526,-78.89,10660 Boston Road,US Highway 501 North,Roxboro,NC,27574,Fossil Fuel Electric Power Generation (221112),Electric Services (4911),Person,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%227300045%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%227300045%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003707300045,-8781994.629,4373241.640454304
"Duke Energy Progress, LLC - Richmond County Turbines",7700070,Title V,Fayetteville Regional Office,34.8388,-79.7402,Richmond County Energy Complex,198 Energy Way,Hamlet,NC,28345,Fossil Fuel Electric Power Generation (221112),Electric Services (4911),Richmond,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%227700070%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%227700070%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003707700070,-8876638.46,4141996.228822144
"Duke Energy Progress, LLC - Roxboro Steam Electric Plant",7300029,Title V,Raleigh Regional Office,36.4817,-79.0702,1700 Dunnaway Road,,Semora,NC,27343,Fossil Fuel Electric Power Generation (221112),Electric Services (4911),Person,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%227300029%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%227300029%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003707300029,-8802054.401,4367106.594321964
"Duke Energy Progress, LLC - W. H. Weatherspoon Plant",7800147,Title V,Fayetteville Regional Office,34.5881,-78.9744,491 Power Plant Road,,Lumberton,NC,28358,Fossil Fuel Electric Power Generation (221112),Electric Services (4911),Robeson,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%227800147%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%227800147%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003707800147,-8791389.994,4108045.5140977493
Duke University,3200144,Title V,Raleigh Regional Office,36.0053,-78.9378,5 Genome Court,Box 3914 DUMC,Durham,NC,27710,"Colleges, Universities, and Professional Schools (611310)","Colleges And Universities, Nec (8221)",Durham,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%223200144%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%223200144%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003703200144,-8787315.7,4301350.668379039
EGGER - Lexington Particleboard Plant,2900386,Title V,Winston-Salem Regional Office,35.7425,-80.343,300 Egger Parkway,,Linwood,NC,27299,Reconstituted Wood Product Manufacturing (321219),Reconstituted Wood Products (2493),Davidson,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%222900386%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%222900386%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003702900386,-8943741.849,4265247.371160204
East Carolina Regional Solid Waste Landfill,0800102,Title V,Washington Regional Office,36.1159,-77.0697,1922 Republican Road,,Aulander,NC,27805,Solid Waste Landfill (562212),Refuse Systems (4953),Bertie,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%220800102%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%220800102%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003700800102,-8579359.76,4316580.7746528005
"Edenton Boatworks, LLC",2100080,Title V,Washington Regional Office,36.0114,-76.5662,140 Midway Drive,,Edenton,NC,27932,Boat Building (336612),Boat Building And Repairing (3732),Chowan,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%222100080%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%222100080%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003702100080,-8523310.396,4302190.1078636935
"Electric Glass Fiber America, LLC",2300153,Title V,Mooresville Regional Office,35.3274,-81.6285,940 Washburn Switch Road,,Shelby,NC,28150,Other Pressed and Blown Glass and Glassware Manufacturing (327212),"Pressed And Blown Glass, Nec (3229)",Cleveland,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%222300153%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%222300153%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003702300153,-9086843.054,4208462.987660465
"Electric Glass Fiber America, LLC",2900109,Title V,Winston-Salem Regional Office,35.7547,-80.2767,473 New Jersey Church Road,,Lexington,NC,27292,Other Pressed and Blown Glass and Glassware Manufacturing (327212),"Pressed And Blown Glass, Nec (3229)",Davidson,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%222900109%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%222900109%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003702900109,-8936361.367,4266920.753913251
Environmental Land Solutions & Recycling LLC (ACI),4900344,Title V,Mooresville Regional Office,35.6778,-80.847,289 Houston Road,,Troutman,NC,28166,Solid Waste Combustors and Incinerators (562213),Refuse Systems (4953),Iredell,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%224900344%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%224900344%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003704900344,-8999846.872,4256377.238155726
Enviva Ahoskie,4600107,Title V,Washington Regional Office,36.269,-76.9643,142 NC Route 561 East,,Ahoskie,NC,27910,All Other Miscellaneous Wood Product Manufacturing (321999),"Wood Products, Nec (2499)",Hertford,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%224600107%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%224600107%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003704600107,-8567626.685,4337698.766347135
Enviva Hamlet,7700096,Title V,Fayetteville Regional Office,34.934,-79.6343,1125 North NC Highway 177,,Hamlet,NC,28345,All Other Miscellaneous Wood Product Manufacturing (321999),"Wood Products, Nec (2499)",Richmond,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%227700096%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%227700096%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003707700096,-8864849.726,4154915.620937974
Enviva Northampton,6600167,Title V,Raleigh Regional Office,36.5034,-77.6119,309 Enviva Boulevard,,Garysburg,NC,27831,All Other Miscellaneous Wood Product Manufacturing (321999),"Wood Products, Nec (2499)",Northampton,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%226600167%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%226600167%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003706600167,-8639717.187,4370111.359
Enviva Sampson,8200152,Title V,Fayetteville Regional Office,35.1222,-78.1833,"5 Connector Road, US 117",,Faison,NC,28341,All Other Miscellaneous Wood Product Manufacturing (321999),"Wood Products, Nec (2499)",Sampson,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%228200152%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%228200152%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003708200152,-8703325.145,4180500.060965611
Epperson's Lawn & Tree Care Inc - ACI,4500324,Title V,Asheville Regional Office,35.365,-82.3577,7 Laycock Rd.,,Hendersonville,NC,28792,Landscaping Services (561730),Ornamental Shrub And Tree Serv (0783),Henderson,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%224500324%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%224500324%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003704500324,-9168017.227,4213594.481958999
Fairfield Chair Plant No. 2,1400041,Title V,Asheville Regional Office,35.8734,-81.5168,606 Kincaid Circle SW,,Lenoir,NC,28645,Upholstered Household Furniture Manufacturing (337121),Upholstered Household Furniture (2512),Caldwell,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%221400041%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%221400041%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003701400041,-9074408.667,4283215.361
First Broad River Wastewater Treatment Plant,2300399,Title V,Mooresville Regional Office,35.2427,-81.5714,1940 South Lafayette Street,,Shelby,NC,28150,Materials Recovery Facilities (562920),Refuse Systems (4953),Cleveland,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%222300399%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%222300399%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003702300399,-9080486.711,4196912.213114977
Fleet Readiness Center East,2500159,Title V,Washington Regional Office,34.8936,-76.8964,A Street - Marine Corps Air Station,PSC Box 8021,Cherry Point,NC,28533,National Security (928110),National Security (9711),Craven,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%222500159%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%222500159%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003702500159,-8560068.092,4149431.1934151514
"Flowers Baking Company of Jamestown, LLC",4100996,Title V,Winston-Salem Regional Office,35.9909,-79.9562,801 West Main Street GSO Road,,Jamestown,NC,27282,Commercial Bakeries (311812),Bread Cake And Related Product (2051),Guilford,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%224100996%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%224100996%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003704100996,-8900683.47,4299369.298311592
"Fortron Industries, LLC",6500303,Title V,Wilmington Regional Office,34.3166,-77.9797,4600 Highway 421 North,,Wilmington,NC,28401,Plastics Material and Resin Manufacturing (325211),Plastics Materials And Resins (2821),New Hanover,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%226500303%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%226500303%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003706500303,-8680660.496,4071393.309086788
"Frank Horne Construction, Inc.",2400153,Title V,Wilmington Regional Office,34.2996,-79.0521,225 Frank Horne Drive,,Fair Bluff,NC,28439,Solid Waste Combustors and Incinerators (562213),Refuse Systems (4953),Columbus,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%222400153%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%222400153%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003702400153,-8800039.518,4069102.281606369
Franklin Baking Company - Goldsboro,9600235,Title V,Washington Regional Office,35.3943,-77.9999,500 West Grantham Street,,Goldsboro,NC,27530,Commercial Bakeries (311812),Bread Cake And Related Product (2051),Wayne,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%229600235%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%229600235%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003709600235,-8682909.15,4217594.883255868
"Gardner Glass Products, Inc.",9700023,Title V,Winston-Salem Regional Office,36.1812,-81.146,301 Elkin Highway,,North Wilkesboro,NC,28659,Glass Product Manufacturing Made of Purchased Glass (327215),Products Of Purchased Glass (3231),Wilkes,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%229700023%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%229700023%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003709700023,-9033131.4,4325582.942549889
Gaston County Landfill - Hardin Site,3600339,Title V,Mooresville Regional Office,35.3887,-81.1727,3155 Philadelphia Church Road,,Dallas,NC,28034,Solid Waste Landfill (562212),Refuse Systems (4953),Gaston,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%223600339%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%223600339%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003703600339,-9036103.63,4216830.189127275
"General Shale Brick, Inc. - Plant 51",8000039,Title V,Mooresville Regional Office,35.6786,-80.4397,700 South Long Street,,East Spencer,NC,28039,Clay Building Material and Refractories Manufacturing  (327120),Brick And Structural Clay Tile (3251),Rowan,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%228000039%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%228000039%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003708000039,-8954506.444,4256486.871284143
Georgia-Pacific Wood Products LLC - Dudley Plywood/CNS,9600058,Title V,Washington Regional Office,35.2617,-78.0353,139 Brewington Road,,Dudley,NC,28333,Softwood Veneer and Plywood Manufacturing (321212),Softwood Veneer And Plywood (2436),Wayne,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%229600058%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%229600058%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003709600058,-8686849.86,4199502.245
"Grady-White Boats, Inc.",7400104,Title V,Washington Regional Office,35.6493,-77.3463,5121 MLK Jr. Highway,,Greenville,NC,27834,Boat Building (336612),Boat Building And Repairing (3732),Pitt,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%227400104%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%227400104%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003707400104,-8610150.731,4252472.2746391045
